,IDs,Sequence,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Unnamed: 22
1423,NonAllergen_8036,mptfthriynfnagpamlptevmeeakseflnfrgtgmsvmemshrekhfqsildesisdlrellnlpsryavvyfpggatlqfsaipfnylssgdscdfaltgvwakkafeeakkfypnvksifngadskymelptitdesvndgakymyitsnntiygtryktfpklkkapliadmtsellsrklpiedfsvifagaqknigpsgltlviydkeklpevshpipnlmnfalmekngslyntpptysiyiaglvfkylkrkgglavmeetnerkakklydaidssslfyapvpvpfrsamnvvfrshndgldskflslaeeqgfaglkgyrevggfrasiynampeegvdalisfmkefersng,7.67,0.27,4.11,7.4,6.85,6.85,1.37,5.21,7.4,8.77,4.11,5.48,5.75,1.1,3.84,8.77,4.66,4.93,0.27,5.21,0
1425,NonAllergen_9300,mkkkngrdskeladfalgesqtnypetyapevleafdnknpgkiawttfvcteftslcpktrqpdfakifinyiadkkmveskslklylfsfrnhgdfhedcvqticddlvklmkpkyievigeftprggiaiypyanyaakdkffqelykkrmseyapgkysmelskly,7.06,2.35,5.88,7.65,7.06,4.71,1.18,5.29,12.35,7.06,2.94,4.12,5.29,2.35,2.94,5.29,5.29,3.53,0.59,7.06,0
1426,NonAllergen_6056,mtqslvcpdtvsrvssvlnrnsrqfgkkhlfdqdeetcwnsdqgpsqwvslefpqcvqitqlqvqfqggfssrhsclegsrggealskivdfypedtnalqtfsiptmevdrlkltfedttdffgrvviyhlrvlgekag,2.14,2.86,6.43,6.43,7.14,7.14,2.14,2.86,3.57,8.57,1.43,2.86,3.57,8.57,5.71,10.0,7.14,8.57,1.43,1.43,0
1427,NonAllergen_2302,malmqiaepgtaadphqrrlaigidlgtthslvasvlsavptvmrdhdgkyllpsvvrylggggihvgypavaaagqdphntiasakrlmgrghgdvqtlaghlpydlvpgegmvrlrtvagekspvevsaeilrvlkeravetlggepegavitvpayfdeaqrqatkdaarlaglnvlrllaeptaaavaygldkgsegifaiydlgggtfdisilrlqagvfevlatagdsalggddmdhalaewlmqeeggdasdplwrrqvlqqartakealsavaetmivltpsgraareiklsrgrlesliqpviqrslpacrralrdaglkldeiegvvlvggatrvpavramveeffrqkpltdidpdqvvaigaaiqadalvgnqredlllmdvlplslgletmgglvekiiprntpipvaraqefttfkdgqtamsihvvqgerdlvqdcrslarfslrgippmvagaarirvtfqvdadgllavraeetstgvrsevvvkpsyglndeeiarmlqdsfihgaedvvrrrlseakvegervrealrtalaadadlldpaerealdkagtaltnalsgddagvitaaaeavetaaeplvqrrmdsalrraitgrsidelgd,14.01,0.32,6.92,7.25,1.77,9.34,1.61,4.83,2.42,11.11,2.42,0.97,4.51,3.86,8.37,4.51,5.15,9.02,0.32,1.29,0
1428,NonAllergen_3572,mteqsnrvfllslgcskntvdserlmaqaeaagvvftesasdaetiiintcgfiadakeesinetlaaitekesgrvrkifvmgclpelyrselqtelpevdgffgtrelpailtaigaryrselhlhrsltapghtsflkisegcsrscsfcsiprirgpyisqpldqllrearllqekgvqelniiaqditlygvdlygrqmlndlllrlsdmafhwirllyayplnfplevietmsqrgnicnyldlplqhcndrilrsmnrgitkegelalieairqknpdirlrttmiagypgetrqefeellefaatvrfdrlgcfsycheefspafaledsvpeeekqsrtaelmelqegiseeknkrlegreiavcidrieentawgrtewdapevdnecslegaghtiapgsfclaridgsspyelfgtvlkvpe,7.37,3.0,4.15,11.75,4.15,6.45,1.61,7.14,2.76,11.52,2.07,3.46,4.15,3.46,7.6,6.91,5.53,3.69,0.69,2.53,0
1429,NonAllergen_7727,mvvamatkeeeggpssrvphlpwmrnpvdidsfsgcpvahlprldprlvkplqrmgiesffpvqvaawletigpgaferdicinsptgsgktlayalpivqmlatrkvrclralvvlptrdlalqvkevfdaiapvvglsvgsavgqssiadevsnliekskqglfpsldeeyiqmepqtkvdilvatpgrlmdhismtkgfslehlqylvvdetdrmlreayqswlptviqltrssdqnhswsdmngetllhplttirrsgvergfkgksfprlakivlsatltqdpsklsqlelqhplllnsgkkryriptklqsyklvcksnlkplslivllqelrgekclvftssvesshrlstlleffedlpfkfseysrlqrestrrktldafkegkidvligtdrmargihidglryvinydmppyvktyihragrtaragesgscftflrkhevkafdkmlkkadnsscslhslpeesvetlrpvfssalkkleesleseatkksksgdkapnaskrkrtint,5.76,1.34,4.61,6.72,3.65,5.37,2.3,4.61,7.29,12.09,2.5,2.11,5.76,3.45,6.91,9.98,5.76,6.91,0.77,2.11,0
1430,NonAllergen_5774,mktfsakshevvhewfvidatdkvlgrvasevalrlrgkhkpeytphvdtgdfivvinssklrvtgtkglnkiyyrhsgypggisstnfdkmqdrfpgralekavkgmlpkgplgyamikklkvygdanhphaaqqpkalei,7.75,0.0,4.93,4.23,3.52,9.15,4.93,4.93,11.27,7.04,2.82,2.82,5.63,2.11,4.93,5.63,4.93,8.45,0.7,4.23,0
1431,NonAllergen_6251,mslgelletcrsrrielwseagrlryrapqgaldaglaerlraereallehleggpgwraepdlahqrfpltpvqaayvlgrqaafdyggnacqlyaeydwpadtdparleaawnamverhpmlraviednawqrvlpevpwqrltvhacagldeaafqahlervrerldhacaaldqwpvlrpelsigrddcvlhcsvdftlvdyaslqlllgewrrryldpqwtaepleatfrdyvgveqrrrqspawqrdrdwwlarldalpgrpdlplraqpdtrstrfrhfharldeaawqalgaragehglsaagvalaafaetigrwsqapafclnltvlnrpplhpqlaqvlgdftalsllavdsrhgdsfverarrigeqmfddldhptfsgvdllrelarrrgrgadlmpvvftsgigsvqrllgdgeapraprymisqtpqvwldcqvtdqfggleigwdvrlglfpegqaeamfddfvgllrrlaqsprawtdgdatepveappqalpgsarsiaagfaeralltpdatvihdaagsysyrqvaqhasalrrvleahgagrgrrvavmlpksaaqlvavigilqagaayvpvdirqpplrrqailaspevvawvclesdvpnagcacvaidrlaadsawppppaaevaaddlayviytsgstgtpkgvmlshaavsntlldinqrygvdandrvlglaelsfdlsvydffgataagaqvvlpdpargsdpshwaellerhaitlwnsvpaqgqmlidylesepqrhlpgprcvlwsgdwipvslptrwwrrwpdsalfslggateaaiwsieqpirpqhtelasipygralrgqsvevldargrrcppgvrgeihiggvglalgyagdpqrtaerfvrhpdgrrlyrtgdlgryladgsieflgreddqvkirghrielaeldaalcahpqvnlaatvvlgetherslasfvtlhapaeagedprtaldtvrqraaqalrrdwgseegiaaavaaldraclaslaawlagsglfasatpldfatlcqrlgiaearqrllrhwlrqleeggylraegegwlgcaerpaqspedawtafagcapaalwpaelvaylrdsaqslgeqlagrispaalmfpqgsariaeamysqglhaqalheamaeaiaaiverqpqrrwrllelgagtaaasraviarlaplvqrgtevdylftdvssyflaaarerfadqpwvrfgrfdmngdlldqgvaphsvdillssgalnnaldtpallaglrellsadawlviqeltrehneisvsqslmmenprdlrderrqlfvhtgqwlewlaaqggdlacgvvppgsaldllgydvllarcktdrarlepaellafvearvprymlpaqlrvlerlpvtgngkidrkaltgfarqpqadlrhgvaqapadelesallalwrevldnpslgveqdffgaggdslliaqliarlrerlesarrhpfdrllrwalsqptprglaerlrsapeegrgpalaaargvapaqtgmsraplaegavaldplvrlvpgegvprvlvheglgtllpyrpllralgegrpllglavhdsdaylaipaeylnaclgrryaealhgaglrevdllgycsgglvaletaksllqrgvrvrqldivssyripyrvdderlllfsfaatlgldtaalgfpaperlgqavqaalaqtperlgaealaglpgladlvalrgrvlqaasgsadaasverdtlyrlfchsvrasqaealepyvgalrlfvpdagnplvpryaealetqwraaalgacgihevpgghfdclgealaqslskpmpeeasq,15.15,1.38,5.86,6.52,2.6,8.24,2.27,2.54,0.44,13.54,1.05,1.11,6.3,4.64,9.78,4.92,3.15,6.14,2.27,2.1,0
1432,NonAllergen_3925,makylirarieidgvvekhdiigaifgqteglfgnefdlrvlqdkgrigriqvntktqgskttgeilipsnldrvetallaalietvdkvgpydasisivdivdlrmekikkimertveilrrwgkektpdvkeliksiqeylkvpepvsygpeelpagpdvdkaeeiiivegradvinllrygytniialggarrvpdtikklaelkkttlfvdgdhggdlimkevlrnakidyiarappgreveelssreieealkkkieifqyleeqvkqgnkeaqlliqiqrrlhklpeevvkppekvakeitetlslpvkliedikslygtleaifyssqwdqvkripvrdlvseiqasepekihaivfdgiitqrlidavvekrvkiligarlgkitfktpeltiltfnela,6.13,0.0,5.64,10.78,2.21,6.37,0.98,12.01,9.31,10.05,0.98,1.96,4.41,3.68,6.13,3.43,5.15,7.84,0.49,2.45,0
1433,NonAllergen_6716,mkfneflnhlsnyepgkdieviakeygvkeviklasnenpfgtppkaieclrqnankahlypddsmielkstlaqkykvqneniiigagsdqviefaihaklnsknaflqagvtfamyeiyakqcgakcyktqsithdlnefkklyeahkdeikliflclpnnplgecldasevtkfikgvdedclvvidaaynefasfkdskkhlepcelikefdnvlylgtfsklyglgglrigygiananiinafyklrapfnvsnlalkaavaaidddeftkktlennfsqmqlykefakkhnikiidsytnfityffdeknstdlsekllkkgiiirnlksyglnairitigtsyenekfftefdkilr,8.24,1.92,5.22,7.97,6.59,4.95,1.92,9.07,11.26,9.62,1.1,7.97,2.47,2.47,1.65,4.95,4.12,3.57,0.0,4.95,0
1434,NonAllergen_5925,mswsfltrlleeihnhstfvgkiwltvliafrialtavggesiyydeqskfvcnteqpgcenvcydafaplshvrfwvfqiilvatpsvmylgyaihkiakmehgeadkkaarskpyamrwkqhraleeteedheedpmmypemelesekenkeqnqpkpkhdgrrriredglmkiyvlqllartvfevgfligqyflygfqvhpfyvcsrlpcphkidcfisrptektifllimygvtglclllniwemlhlgfgtirdslnskrreledpgaynypftwntpsappgyniavkpdqiqytelsnakiaykqnkaniaqeqqygsheenlpadletlqreikmvqerldlaiqayshqnnphgprekkakvgskagsnkssassksgdgknsvwi,6.82,1.77,3.54,8.59,4.04,5.81,3.54,6.31,7.07,8.59,2.78,4.55,5.3,4.8,4.8,6.31,4.04,4.8,1.77,4.8,0
1436,NonAllergen_3739,mphhefecskviperkkhavikgkgetladalpqgylntipgsisergcaycgakhvigtpmkdvihishgpvgctydtwqtkryisdndnfqlkytyatdvkekhivfgaekllkqniieafkafpqikrmtiyqtcataligddinaiaeevmeempevdifvcnspgfagpsqsgghhkiniawinqkvgtvepeitgdhvinyvgeyniqgdqevmvdyfkrmgiqvlstftgngsydglramhrahlnvlecarsaeyicnelrvrygiprldidgfgfkpladslrkigmffgiedrakaiideevarwkpeldwykerlmgkkvclwpggsklwhwahvieeemglkvvsvyikfghqgdmekgiarcgegtlaiddpneleglealemlkpdiiltgkrpgevakkvrvpylnahayhngpykgfegwvrfardiynaiyspihqlsgiditkdnapewgngfrtrqmlsdgnlsdavrnsetlrqytggydsvsklrereypaferkvg,6.76,1.93,5.6,7.92,3.47,9.65,3.47,8.11,7.14,6.18,2.7,4.05,4.44,2.9,5.21,4.05,4.05,6.18,1.74,4.44,0
1437,NonAllergen_9344,menafkllyktieerkesplpesytnylfskgedkilkkigeecaeviiacknndkeevvkemvdvfyhcfvllaeknialedvmrevkerngklsrvgdrreidtl,4.67,2.8,5.61,15.89,3.74,3.74,0.93,6.54,12.15,9.35,2.8,5.61,1.87,0.0,5.61,3.74,2.8,8.41,0.0,3.74,0
1438,NonAllergen_9301,maykrvllklsgealmgdasygidpavvqriaqeiatvvqdgfqvaivvgggnifrgikgaaagmeratadyvgmiatvmnaitlqdaleqlqvptrvqtaiamqevaepyirrrairhlekgrvvifgsgtgnpffttdttaalraaeinadvvfkatkvdgvydsdpklnpqarrfttlnynyvlnhelgvmdstaialckdnsipivvfdlfgegnirravqgedigttvggscevs,12.08,0.83,5.83,5.0,3.75,9.58,0.83,7.5,3.33,6.25,2.92,4.17,2.92,4.58,6.25,3.33,7.08,10.83,0.0,2.92,0
1439,NonAllergen_6489,mamfyahalggydenlhafpgisstvandvrkysvvsvynnkydivkdkymwcysqvnkryigallpmfecneylqigdpihdqegnqisiityrhknyyalsgigyesldlclegvgihhhvletgnavygkvqhdystikekakemstlspgpiidyhvwigdcicqvtavdvhgkeimrmrfkkgavlpipnlvkvklgendtenlsstisaapsr,5.94,2.28,5.48,5.48,1.83,7.76,4.57,8.22,6.85,6.85,3.2,5.48,3.65,2.74,2.74,6.85,3.65,8.22,0.91,7.31,0
1440,NonAllergen_4225,mnpivinrlqrklgytfnhqellqqalthrsasskhnerleflgdsilsyvianalyhrfprvdegdmsrmratlvrgntlaelarefelgeclrlgpgelksggfrresiladtvealiggvfldsdiqtveklilnwyqtrldeispgdkqkdpktrlqeylqgrhlplptylvvqvrgeahdqeftihcqvsglsepvvgtgssrrkaeqaaaeqalkklele,6.64,0.88,4.42,9.29,3.1,7.52,3.1,4.42,4.42,13.72,1.33,3.1,3.54,6.19,8.41,6.19,4.87,5.75,0.44,2.65,0
1441,NonAllergen_1400,mtlifwtkngqemefdlvenveidekiitfdyygegekrgvvfilnnlagmavedenseseskdgaswfkvyrg,4.05,0.0,6.76,14.86,6.76,9.46,0.0,6.76,6.76,5.41,4.05,6.76,0.0,1.35,2.7,5.41,4.05,8.11,2.7,4.05,0
1442,NonAllergen_950,mkikvinpnttlamtkgiehaaksaarsdtqivavspkmgpasiesyydeylsipgvieeikkgeeegvdafviacwgdpglhaarevtdkpvvgiaessvylasmlaarfsvvtvlpriktmledlvdsygmqkrvlnirttpmgvldferdpeagiemlrqegkraveednaeaillgcagmaefadslekelgvpvidgvvagvkfaetivdlgkktsklktykypekkeyvgalenfgrnqtttk,10.04,0.8,5.22,10.04,2.41,8.03,0.8,6.43,8.43,7.23,3.61,2.41,4.42,1.61,4.02,5.22,6.02,9.64,0.4,3.21,0
1444,NonAllergen_6783,mgrilaidygrkrtglavtdplkiipgglttvpthtlldflrdyvsrepverfvlglprrmnyeesesmtyirpfavklaqafpsipityvderftsrmaqrtileagigkmkrrdkalvdevsaviilqsyldnpdr,6.52,0.0,6.52,5.8,3.62,5.8,0.72,7.97,4.35,10.14,3.62,1.45,6.52,2.17,10.87,5.07,7.25,7.25,0.0,4.35,0
1446,NonAllergen_7097,mldlselkkktiedllkiaedlgvvsngrmlkqeiifhlmkkvvsdggaaigggvveilsdgfgflrspeanyaasgddvyisagqikkfnlrtgdivsgeirapsekeryftlvkahsinftdmaklqryvhfddliplypeerillecndpisvskkdismrvidivaplgkgqralivappragktiilqqiahsisvnhpdielivlligerpeevtdmcrsvkgevvsstfdepgyrhvqlaeiviekakrmvehkknvvilldsitrlaraynsvipssgkvltggvdsnalqrpkrffgaarnienggsltiiatalietgskmdevifeefkgtgnceiildrkisdkrvypaidisksgtrkedmlidsvclkkvwllrrllssmgsveameflrdkllitkdnneffdmmns,6.16,0.95,6.64,7.35,3.55,7.11,1.66,9.95,7.82,9.72,3.08,3.55,3.32,1.9,5.92,7.82,3.55,7.82,0.24,1.9,0
1447,NonAllergen_2316,mkililnagsssqksclydfkeknfldnpvepiwkadidwtlatgqgiltvkangikqkitlnsddhhhgiakmlgtlvegktkviqhlsdisivghrvvhggtdyseatlitpdvkatiarliplapthnpshlegieaieqvlgnipqvavfdtafhsqmpleasvypipyewldkgirrygfhgtshkycaekasqllnkplthlklitchlgngcslaaikngisidttmgftpleglmmgtrsgsidpailiylmreydftfeqlnemlnqesglkgvsgisadlraifeainqgndraqlaldmylhrlrsqigsmlaslggldaliftagigenaaivrekacqgfsflglkldleknanspvnidistpdstvrilvihtqedwaiaqecchwlnk,7.92,1.73,5.45,5.2,2.97,8.17,3.96,9.41,5.69,11.39,2.48,4.7,3.71,3.96,2.97,6.68,5.94,4.21,1.24,2.23,0
1448,NonAllergen_5034,mldklgqnlsealnkiknatfvdkklvkevikdiqkaliqsdvnvklvfnmskeierkaieeappkglskkehivkivydelvkllgetiqkleldaskksvilligiqgsgkttsaaklaryiqkkglrpgliaadvyrpaayqqlkqlsekinvplfgdetrtktpvditkegmeklkkvdviiidtagrhkeeegllaemkemkdltnpneiilvidgtlgqqaknqakafkdsvseigsilvtkldgsakgggalsavaeinapikfigtgegvdnleqfdpkkfisrilgfgdldsllektedimdesaeesidsilkgkftlielyaqletiskmgpmkqilsmipgmggnmpkeaaqltedklkrykimmdsmtmeekenpeliktsrlqriargagvkpeeikdllkyysttknafgnlkrgkmpkmggqmgqimrqlmykd,6.67,0.0,5.78,8.67,2.22,8.0,0.44,9.11,13.33,10.67,4.44,3.33,3.33,4.44,2.89,5.33,4.67,4.67,0.0,2.0,0
1449,NonAllergen_4320,maniksqikrnktnekarlrnqavrsavrteirkfnaaieagdkdaaqaqlrtasraldkavtkgvfhinnaankksnmatafnklg,19.54,0.0,3.45,3.45,3.45,3.45,1.15,5.75,12.64,4.6,2.3,11.49,0.0,4.6,9.2,4.6,5.75,4.6,0.0,0.0,0
1450,NonAllergen_9461,mkfttyttfpeqtsneslwilvdseqlqsnlntyqinnlesiltatqfkanfnetlplfgqlstqphsqllglgkaaelqaaklaklaqtiiksaqnkfkhiaidiaalpveyhylfalsltqaaygydefkstknefvlqqvdlissqtsldenqlalvhavqsgqsyardlgnrpgnicfpeylaeqalalaaefpdllkvtvlneqqmadlgmyaflavskgserpgrivtleyqaqleqapvvlvgkgvtfdtggislkpglgmdemkfdmcgaasvlgtiralcearlpihvvgaiaaaenmpsgkatrpgdivttmsgqtveilntdaegrlvlcdtltyikrfnpavvidiatltgacvvalgkvlsglfspddtlaaelqqageqsfdrvwrmpviddyqelldspfadianiggphggaitaacflerftrdyrwahldvagtawlsgsakgatgrpvpllmqflanrvstng,11.62,1.24,4.98,5.39,4.36,7.47,1.45,4.98,3.94,12.24,2.07,3.94,4.15,6.22,3.32,5.81,7.05,6.22,0.83,2.7,0
1451,NonAllergen_34,mnkfyyiciyinilyvcvsghgymtfpiarqrrcsvrggqwwppngdgitdtmcraayqnvynkvlnqyndpqeaataaqymfqqdneyaalagpdytnlcnlqqnvvpnnlcaagaddwdvvpfgdksgmdlpgnwvptvipldsnhqssvalelefcptavhdpsyyevyitnsgfnvhtdnvvwgnlelifndtvplrpksststcnanpnvyrftvsipvrpaqfvlyvrwqridpvgegfyncvdmafdyaagpseedviypdyeapgqnaytchanrnkyggnyentidedkyqaqldesiksrydkysrhkggkfgqkqcngnkhhynkytkyynqnyknnkny,6.84,3.13,6.55,3.7,3.42,6.55,2.28,3.99,4.56,4.27,1.71,10.54,5.98,5.41,3.7,4.56,4.56,7.41,1.71,9.12,0
1452,NonAllergen_6255,msppisptppplqppfpptaiargpdrpdpppqhqqaaeslvnaaaqhvaptcpptsdelpqmedqatnssndslipsrqapnqeetenaitagtppdemeptkdaqtvrfsssspasystheypteeineprtssrapntassqmaessfdfrssrdigsirmgasalvsalnalpweedddsddgedddefiepargssstiyerkqrpqtpstshgfhpthtlhfpfrqnaiarracqpgtteldyqyatpetssrrtsaagsesssegevplpkgfvshpnlivpsgegeaaahpdpklisdritkeqqiadveeqaeilrsaeeqemrlgkefvppksrdsadlnvdaalreggseredvieeqmqtneaekrltrneklaerlmevfgleereevleemkcwllrsvmlkgymyltkrhicffanmpnennllvksgplhkkasrsklntkfwvvlkndvlswyestsdpyfpkgnislqychscdavsgtrfkvrtsernytftadtessrdewvkaiqkvmfktqhegetikliipleaivdveksptleftetievkcidaedqmsvdsyffasfpdndyafsaiqklvrerpsppelprissvttihanqepldtshatikrhgtdssaeklgmashrpfrkissvlkplilkssdgepleehsqgphhndedashlphieaisnrrrseeesdndyfdgypprqvgppppsmnddarnwrpswirkpasklfgsspsgsfvshpgrlptdssttvtesgpslrsrtgrtkqasvtevieppiqyeeevsedemsnkpsvvdsnsaetarkraarlswtsetssgsqmvksksdfsmlgsesghsesaetvrkfrtffalsdkeelidhfpgylyrvlpvsgrffistnyfcfrssqllyktkesfrlmiipirdlyglkaqkafrfghsgltvvikgheeifiefrsasrrkacialleermeavrlsgentivdshkiearimedldestpvepkspwpvspsplfgsttstsflefkpepmkitcltigsrgdvqpyialckglqaeghitkiathgeykawveghgiafesvggdpaelmqmcvdngmftvsflkeglqkfrgwlddllnssweacqgsdlliespsamsgihvaealripyyraftmpwtrtrayphafavpehgrggpynymtytmfdqvfwraisgqvnrwrrnvlgldattfdkmeqhkvpflynfsptvvpppldwtewihvtgywfldkadekqgekswtppqglvdfidkahgeekkvvyigfgsivvsdpeemtrcvveavvnsgvcailskgwsdrgskkgepkgdsegadgvkyppeifaidsidhgwlfpridaachhggagttgaslragiptiikpffgdqafwaerveslnvgssirrltshqlasalikattdekqiskarvvgemirkengitraieaiyrdleyaksiikslpstddrtperissllhplttadlsfnrvrsrsrsrsrssqgrfsprrhtvdddgwsvvsggsrsrsgsasavtsperrplnigsalgshvfktallpntfgkwrnleegddr,7.07,1.01,5.55,8.64,4.23,5.99,2.78,5.11,4.92,6.37,2.08,2.84,7.32,3.09,6.75,11.23,6.12,5.17,1.51,2.21,0
1453,NonAllergen_962,mnilmltfiicglltqvtkgsfepqkcwknnighcrrrcldteryillcrnklsccisliisqeytrrpafpvihleditfdysdvdsftgspvsmlndlitfdttkfgetmtpetntpettmpppetttpettmppsetatsetmpppsqralthn,1.91,4.46,4.46,7.01,4.46,3.18,1.91,7.01,3.18,8.28,4.46,4.46,9.55,2.55,5.1,7.01,15.92,2.55,0.64,1.91,0
1455,NonAllergen_8223,mcsetgtgvperngcadsfspsvmiarklygcdlcerlltnprmagmsldrqhghpitfplpirtkpvlvarapmgsgkttalidwltafldsedksavivscrrsftnslsrrfqrdgltgfttyldsdqyvlteaahrrllvqleslqrisdslldrydvlvvdevmsivaqffsptmrrlrlvdsmftsllrrcrhviamdatvnatlvellaelrgaenvhvvvsdfvsrgfanrecvvmsslgaalpasmvryappagdesreasasqppphdssnepcapeitdadiestegsffhelhvrllqgenvcvfsstlafsrivaffcaevlspdavlllnstsppvdtsdwsrykvvvyttvvtvglsfddshfhtmfafvkpsihgpdmmavyqamgrvrslirdrlfmymdvssanegptftpmllnaeigsatawppeilipantmclrfkdrcssalldhhralfsrfktkhylerstltsandsfsllhtllannkiavrmrgdrpdapasailvedfgrflsrlrtdafsnrrflrrityaieeaasamrervalrnptaeetvmmlaenqaarscmerffglrgavddygepiialmkdmgdvplvaarlvnaavieagcacsagewyvvdlaaehashgssefdkwmnyyldeplvslkrgrpeevqipiqpgirgrtallracvnvarqigwrpttwnddaeleaadveramataieaglgkfaleymrlnftepswltgpirnlqrflgarkrhaahgigpseqrkespeicifrtlwaelfgvrilksqrtfpgttrvknlrkehlkalldrievrypessthkqlygllrenqyrfsnspklllrtpdwmrqlsgnrpqaeqap,9.77,1.93,5.34,6.25,4.66,5.0,2.39,3.86,2.5,10.45,3.41,3.18,5.34,2.39,9.32,8.3,5.68,6.93,1.14,2.16,0
1456,NonAllergen_817,mtiilaietscdetavaivnnnlvlssvvssqidlhrlyggvvpemasrqhletinfclekawqetglnwseidgiaatvapglvgalmvgmtaaktlaivhdkpfigihhleghiyasylaesdlkppflsllvsgghtslihvqacgkyqqlgttrddaageafdkvarllnlsypggpiidrmakdgnpqafplpegkislptggfhaydssfsglktavlrlvekfepdnlpvadiaasfqdtvarsltrrtincaldyglktiaigggvaansalrnhletaaknhhltvyfpplklctdnaamiaraavdhydlghfsdlsigvrsrlplsevmqlyk,11.34,1.45,5.52,4.36,3.2,7.85,4.07,6.4,4.07,11.92,2.03,3.78,4.65,2.62,3.78,6.98,5.81,6.69,0.58,2.91,0
1457,NonAllergen_3719,mdireiqaalphrypmllvdrvlevsddhivaiknvtinepffnghfphypvmpgvlimealaqtagvlelskeenkgklvfyagmdkvkfkkqvvpgdqlvmtatfikrrgtiavvearaevdgklaasgtltfacgq,10.07,0.72,5.04,6.47,5.04,7.19,2.88,5.76,7.19,8.63,4.32,2.88,5.04,3.6,4.32,2.16,5.04,11.51,0.0,2.16,0
1458,NonAllergen_2212,masndkgleeipegqiesnydeitdsfdsmelkpellrgiyaygferpsaiqqrailpiikgndviaqaqsgtgktatfsisalqkldpnvkgcqalilaptrelaqqiqkvvvaigdfmniechaciggtnvredmkalqegpqvvvgtpgrvqdmiqrrvlrtdnlkmfildeademlsrgfteqiydifqllpqstqvvllsatmpqdvlevttkfmrdpvrilvkkqeltlegikqfyiavekeewkldtlsdlyetvtitqavifcntrrkvdwltdkltardftvsamhgdmeqaqrdvimkefrsgssrvliatdllargidvqqvslvinydlpanrenyihrigrggrfgrkgvainfvtaddvrmmreieqfystqieempmnvadli,6.78,1.01,7.04,7.29,3.77,6.03,0.75,8.54,4.77,8.54,4.02,3.27,3.27,7.04,6.53,4.52,6.28,7.79,0.5,2.26,0
1459,NonAllergen_3920,mhnapesvfnalvpmvveqtakgersydiysrllkerviflvgqveehmanlivaqllflesenpdkeiylyinspggsvtagmaiydtmqfikpkvstvcigqacsmgafllaggekgmrhclpnsrvmihqplggfqgqasdiaihaqeilgikhklnqmlshhtgqpmevierdtdrdnfmsatqaveyglidsvltsr,7.43,1.49,3.96,6.93,3.47,7.92,3.96,7.43,3.96,8.91,5.45,3.96,3.96,5.94,3.96,6.93,3.96,7.43,0.0,2.97,0
1460,NonAllergen_4808,mgsfsytkeqrlrkrpqflalgergkrvqnayfiavfapaqgkvsrlgvtvtkkvgdavtrnrikrcvreyfrlnqhrlkapvdinviakkaccqqespllaasldhlfnrvsegsrh,9.32,2.54,2.54,4.24,5.08,5.93,2.54,3.39,8.47,8.47,0.85,4.24,3.39,5.93,11.86,5.93,3.39,9.32,0.0,2.54,0
1461,NonAllergen_3144,mitkliprkvfftsgvglhseklesfevslrdagiekfnlvtvssilppnceivtkeeglkelspgevvfcvmsrissnepgktlstsvgcalprdiskhgyiseyhayeenaqdvgehakklagsmystwtneaplktfsiprsssvqesgdwmtvisaavfii,5.45,1.82,2.42,9.7,4.24,6.67,2.42,7.27,6.67,7.27,2.42,3.03,4.85,1.21,3.03,13.33,6.06,8.48,1.21,2.42,0
1462,NonAllergen_2568,mpgsaakgselseriesfvetlkrgggprsseemaretlgllrqiitdhrwsnagelmelirregrrmtaaqpsettvgnmvrrvlkiireeygrlhgrsdesdqqeslhklltsgglnedfsfhyaqlqsniieainellvelegtmeniaaqalehihsnevimtigfsrtveaflkeaarkrkfhvivaecapfcqghemavnlskagiettvmtdaaifavmsrvnkviigtktilangalravtgthtlalaakhhstplivcapmfklspqfpneedsfhkfvapeevlpftegdilekvsvhcpvfdyvppelitlfisniggnapsyiyrlmselyhpddhvl,8.55,1.14,2.85,10.26,4.27,6.55,4.27,7.12,3.99,9.4,3.42,3.7,4.27,2.56,5.98,7.12,5.98,6.55,0.28,1.71,0
1465,NonAllergen_4447,msskqpslsykdagvdidagealverikgvakrtarpevmgglggfgalceipagykqpvlvsgtdgvgtklrlalnlnkhdsigqdlvamcvndlvvcgaeplffldyyatgklnvdvaatvvtgigagcelagcslvggetaempgmyegedydlagfcvgvvekaeiidgsrvqagdalialpssgphsngyslirkiievsgadiaqvqldgkpladllmaptriyvkpllqlikqtgavkamahitggglldniprvlpdnaqavidvaswnrpavfdwlqeqgnvdetemhrvlncgvgmvicvaqsdaekalevlraageqpwqigrietcgadaervvlnnlknh,11.05,2.55,6.52,5.95,1.42,11.61,1.42,5.67,4.53,10.2,2.55,3.68,4.25,3.97,3.68,4.25,3.4,10.2,0.85,2.27,0
